zcta,overlapping,only_kaiser,only_uw
90046,0,0,1
90049,0,0,1
90068,0,0,1
90263,0,1,0
90265,0,0,1
90272,1,0,0
90290,1,0,0
90402,0,0,1
91001,1,0,0
91003,0,1,0
91006,0,0,1
91011,0,1,0
91016,0,0,1
91024,1,0,0
91103,1,0,0
91104,1,0,0
91107,1,0,0
91302,0,0,1
91307,0,0,1
91316,0,0,1
91321,0,0,1
91342,0,0,1
91344,0,0,1
91356,0,0,1
91367,0,0,1
91604,0,0,1
93003,0,0,1
93036,0,0,1
93510,0,0,1
